NativePlace,Count
Germany,3170
Sweden,700
Prussia,598
China,530
Denmark,522
"Canton, China",484
France,352
Italy,314
Norway,288
Syria,239
Russia,194
Switzerland,193
Austria,190
Poland,152
United States of America,132
Finland,129
Hanover,96
Holland,79
Saxony,70
Greece,67
Bavaria,45
Portugal,42
Hamburg,36
"Amoy, China",29
Belgium,28
Spain,23
Western Islands (Azores),20
Hungary,20
Holstein,12
United States Of America,12
Turkey,11
Palestine,10
Sicily,9
Roumania,9
Hong Kong,9
Bohemia,7
Silesia,7
Egypt,6
Assyria,5
Brunswick,5
Netherlands,5
Damascus,5
Paris,5
Ionian Islands,5
Corsica,5
Poland Russia,4
Vienna,4
Arabia,4
Chili,4
New Caledonia,4
Japan,4
Wurtemberg,4
Macao China,3
Lombardy,3
Cape De Verde Islands,3
"Amsterdam, Holland",3
West Indies,3
"Shanghai, China",3
Madeira Islands,3
Rome,3
Tripoli,3
Crete,3
"Baghdad, Asia Minor",2
Hessen,2
Iceland,2
Jerusalem,2
"Lebanon, Asia Minor",2
Persia,2
Java,2
Argentine Republic,2
"Bremen, Germany",2
Bremen,2
Servia,2
Eshwaie Kaurhesse,2
Berlin,2
"Fyn, Denmark",2
-,2
Azores Islands,2
"Austro, Hungary",2
Manilla,2
Samoa,2
Posen,2
Nassau,2
Westphalia,2
Macao,2
Venezuela,2
Venice,2
Sardinia,2
South America,2
Algiers,2
Reunion,2
Bagdad,1
Beloochistan,1
San Antonio,1
Shanghai,1
Moldavia,1
"Warsau, Poland",1
Amoy,1
West Coast of Africa,1
Genoa,1
Philippine Islands,1
"Rotterdam, Holland",1
Swizterland,1
Baden,1
Muriazell,1
Smyrna,1
Checkhersessen,1
Sandwich Islands,1
Limnos Jonian Isles,1
Cuba,1
Copenhagen,1
Naples,1
Mitylene,1
Vhina,1
"Bravo, Cape De Verde Islands",1
Scandinavia,1
Penang,1
"W Canton, China",1
Not Given,1
"Cape Verde Islands, Portugal",1
"Sun On, China",1
Bischbrunn,1
Singapore,1
Prussian Poland,1
"Transylvannia, Austro Hungary",1
"Salsbach, Bavaria, Germany",1
Maderia,1
United States of America (Marshville),1
"Altona, Denmark",1
"""Asia Minor of Hungarian Parentage""",1
Born at Sea,1
"Holstein, Germany",1
"Teneriffe, Canary Islands",1
United States of America (North Carolina),1
Mauritius,1
Unknown,1
"Mount Lebanon, Turkey in Asia",1
"Machtum, Belgium",1
Russian Poland,1
"Peru, South America",1
Gottenburg,1
Montenegro,1
Born at sea between Norway and England,1
"Rotumah, Polynesia",1
"Ladrone Islands, Spain",1
Born at sea of British parents - an American citizen,1
Dresden,1
Hesse Darmstadt,1
"Kouton, China",1
North Germany,1
Morles Chur Hessen,1
Canton,1
"Frankfort on the Maine, Germany",1
"Bondry, Switzerland",1
North America,1
Corea,1
"Nantucket, United States of America",1
Russian Polland,1
"Seipzie, Saxony",1
Not Stated,1
Rio Janeiro,1
India,1
Hungaria,1
Peru,1
Widdenberg,1
Oldenburg,1
Brazil,1
"Dalmatia, Austro Hungary",1
Bulgaria,1
Cape Verde Islands,1
Munchhausen Cher-Hessen,1
"Whampoa, China",1
Samos,1
"Chili, SA",1
Afghanistan,1
"St Denis, Isle of Reunion",1
Whompoa,1
Degerfelden Canton Argane,1
Warsaw,1
"Zanle, Ionian Islands",1
Martinique,1
New Hebrides,1
"Pondicherry, E Indies (India)",1
Hadersler,1
Frankfort on the Main,1
"Baden, Germany",1
Courland on the Baltic,1
Born At Sea,1
West Prussia,1
Salina Island,1
"Sweden (Born at Sea, Swedish parents)",1
"Born at Sea, a Swedish Subject",1
"Salsbach, Bavaria",1
"Foochow, China",1
Guttenburg,1
Armenia,1
Born At Sea of German Parents,1
Buenos Ayres,1
Luxembourg,1
"Zurich, Switzerland",1
Heligoland,1
Schlewishivy,1
"St Thomas, West Indies",1
